date	TitleName
20130611	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130612	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130613	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130614	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130615	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130616	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130617	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130618	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130619	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130621	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130622	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130623	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130624	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130625	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130626	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130627	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130628	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130629	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130701	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130702	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130704	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130706	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130707	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130708	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130709	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130710	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130711	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130712	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130713	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130714	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130716	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130717	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130718	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130720	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130721	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130722	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130723	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
